Description Adipose_Subcutaneous Adipose_Visceral_Omentum Adrenal_Gland Artery_Aorta Artery_Coronary Artery_Tibial Bladder Brain_Amygdala Brain_Anterior_cingulate_cortex_BA24 Brain_Caudate_basal_ganglia Brain_Cerebellar_Hemisphere Brain_Cerebellum Brain_Cortex Brain_Frontal_Cortex_BA9 Brain_Hippocampus Brain_Hypothalamus Brain_Nucleus_accumbens_basal_ganglia Brain_Putamen_basal_ganglia Brain_Spinal_cord_cervical_c-1 Brain_Substantia_nigra Breast_Mammary_Tissue Cells_Cultured_fibroblasts Cells_EBV-transformed_lymphocytes Cervix_Ectocervix Cervix_Endocervix Colon_Sigmoid Colon_Transverse Colon_Transverse_Mixed_Cell Colon_Transverse_Mucosa Colon_Transverse_Muscularis Esophagus_Gastroesophageal_Junction Esophagus_Mucosa Esophagus_Muscularis Fallopian_Tube Heart_Atrial_Appendage Heart_Left_Ventricle Kidney_Cortex Kidney_Medulla Liver Liver_Hepatocyte Liver_Mixed_Cell Liver_Portal_Tract Lung Minor_Salivary_Gland Muscle_Skeletal Nerve_Tibial Ovary Pancreas Pancreas_Acini Pancreas_Islets Pancreas_Mixed_Cell Pituitary Prostate Skin_Not_Sun_Exposed_Suprapubic Skin_Sun_Exposed_Lower_leg Small_Intestine_Terminal_Ileum Small_Intestine_Terminal_Ileum_Lymphode_Aggregate Small_Intestine_Terminal_Ileum_Mixed_Cell Spleen Stomach Stomach_Mixed_Cell Stomach_Mucosa Stomach_Muscularis Testis Thyroid Uterus Vagina Whole_Blood 
NDST1 30.6392 30.0851 30.5451 29.3891 35.5699 30.1499 21.1326 21.5895 23.0119 21.2071 16.7179 21.1145 25.7324 23.6391 21.8215 21.6285 21.4543 18.6439 54.1326 24.0827 36.7824 82.8518 17.4643 29.8577 30.1792 29.069 20.9257 18.5288 11.8615 22.3359 30.4709 52.471 30.147 31.2535 16.1076 13.0501 10.846 22.4564 24.9484 36.8874 36.2409 25.7592 50.3987 26.4296 9.48825 54.4127 44.7593 15.7975 9.31473 14.3042 10.73 9.76187 26.6375 38.4314 41.2669 22.3833 9.23768 15.7607 67.6099 17.6983 16.4222 11.3461 23.2494 25.1217 45.586 32.824 32.7322 10.0253 
SYNPO 59.6141 56.7358 94.5236 424.801 246.668 190.531 56.8736 54.5346 70.3622 36.6697 9.22968 10.1504 89.0686 85.5698 49.2542 17.6344 47.6064 29.7563 23.7823 14.2727 48.2566 9.41562 24.0164 19.7715 30.8855 37.4782 29.2945 19.8957 13.5546 14.831 53.5951 11.5113 45.1711 43.3924 157.893 130.566 34.0776 34.7329 16.1504 15.3549 13.9627 51.7843 89.9715 14.3674 369.498 131.179 38.9393 12.3343 8.0016 27.1897 10.3603 17.3847 46.4687 10.9852 13.8424 36.646 11.4888 23.739 41.2101 24.1386 18.9688 12.6596 33.2121 22.7952 39.5617 52.4711 21.3334 0.570526 
MYOZ3 0.529019 0.467895 0.215454 3.35925 2.29079 1.21557 1.00774 0.388304 1.1864 1.14735 0.622333 0.868778 1.41732 1.77536 0.224978 3.26113 3.33813 1.10535 2.95014 1.65003 0.565081 0.342601 0.056973 1.06307 2.32506 0.323282 0.284954 0.187778 0.106937 0.149595 0.455638 0.131056 0.377492 1.19753 2.31447 1.16161 0.390285 0.46368 0.0672285 0.011008 0.044476 1.26039 0.920601 0.256282 24.2409 5.79676 1.26335 0.0871315 0.032639 0.25511 0.0806925 1.14688 2.18278 0.17223 0.23304 0.386137 0.29012 0.3331 0.400664 0.311959 0.227776 0.097611 0.368406 5.68035 0.936248 1.21716 0.720369 0.054094 
RBM22 42.821 39.04 25.7317 44.7951 40.1654 38.6211 37.1529 18.5253 19.6426 21.3662 54.841 47.8389 22.0376 25.1908 19.0468 23.2049 23.2977 19.1745 32.222 20.3618 43.0377 42.2396 57.4079 40.777 54.1877 31.9754 31.0808 30.3 27.9291 29.7973 31.1849 26.9813 29.2864 51.3108 15.8584 12.9737 18.3374 31.1515 14.0459 15.35 13.6961 55.4301 44.6873 28.2961 20.5883 51.3336 62.3854 13.5696 15.3937 26.4882 15.8831 32.2983 39.2224 36.6031 38.2352 36.7004 64.6575 42.5957 55.4174 26.4029 26.5997 22.4858 33.6138 26.1387 46.3365 56.843 38.4936 38.3129 
DCTN4 27.9855 26.3882 32.0935 30.0121 29.3326 33.7493 31.2085 19.5657 21.9695 20.7138 43.8264 36.2994 21.4497 29.6189 19.1455 26.7591 22.1948 17.3187 37.4413 24.7366 28.1468 42.2466 25.4642 29.2764 34.8956 26.6086 18.3833 19.9558 14.033 23.5601 26.2879 22.4881 25.8847 31.1212 13.4333 10.8864 10.1793 14.2201 9.94995 11.7601 11.6271 28.4251 30.0755 20.4105 28.7122 29.9991 42.3203 13.3433 13.5532 24.7495 13.9799 33.9594 29.7239 25.3527 26.1636 18.8913 22.7865 19.1934 20.0269 20.0362 20.5351 15.6949 25.8012 30.2077 29.1317 34.6677 28.0969 12.1525 
SMIM3 221.575 207.314 44.8511 99.8094 90.4047 99.9778 58.9931 9.00035 9.98632 11.9958 27.6535 26.5709 11.9548 11.8369 12.1917 11.8915 8.3586 12.7552 14.2629 15.5457 163.33 128.641 49.6638 49.4853 74.6844 65.448 45.5543 45.1508 28.3101 59.6355 60.5739 30.6238 56.3319 86.1979 41.4266 24.7666 32.1128 86.673 5.30149 3.08852 4.01304 98.5198 90.8002 24.7708 15.781 79.3876 69.5967 26.3628 26.2639 18.5261 35.5935 39.1599 73.5963 19.2962 27.4994 50.3281 32.9287 51.9778 64.7974 30.5944 43.955 21.0527 121.271 10.7568 68.8366 59.6175 51.4518 25.6638 
ZNF300 6.23913 5.20006 1.21442 7.35399 6.89009 6.54269 6.91389 1.82597 1.15725 1.56406 8.6589 8.96278 1.20899 1.13279 2.11464 2.2985 1.90033 1.55213 4.62098 2.45923 7.11391 10.5286 1.30194 9.67127 12.7603 6.04827 4.15786 2.57314 2.02326 6.94121 5.35459 6.4828 5.15375 9.6078 2.50368 1.01255 3.61634 9.65516 0.726283 0.597862 0.596126 9.40078 4.55138 4.17994 0.571796 13.7472 20.3497 3.31441 4.22952 2.79084 3.46374 4.51761 9.72714 4.90355 4.16353 6.24157 8.32669 6.07021 6.24118 5.29342 5.05658 4.04947 4.92385 12.3101 14.5685 14.0834 8.99005 0.301284 
ZNF300P1 3.75622 4.67741 1.43989 4.98626 5.4756 4.193 6.41774 1.29089 0.79658 1.22187 10.7904 10.3393 0.938066 0.770645 1.12273 1.02939 1.23583 1.17389 1.82647 1.40218 5.46886 2.96958 0.020308 8.08671 13.4158 6.13913 3.08059 1.64318 1.04861 7.78511 6.82364 2.57939 6.08166 9.91244 2.66606 1.61825 2.86199 7.61222 0.353956 0.497495 0.32139 3.37143 2.61936 2.97245 0.806314 13.0469 20.0773 3.18696 4.21925 2.13076 2.79933 3.31648 7.60124 3.33171 2.27773 2.84541 1.61336 1.78493 2.57243 3.03905 2.83494 2.3075 5.46672 6.39295 10.6816 14.5781 7.00209 0.022149 
GPX3 3761.51 3540.17 336.55 868.194 1856.48 1865.97 1182.62 10.3619 30.8592 41.9198 43.7671 47.427 55.886 60.4757 14.7069 102.862 75.7194 36.2658 22.7777 58.5574 2465.27 44.0028 2.24099 595.425 356.295 649.554 459.672 437.466 121.887 551.317 1219.05 441.674 1208.58 863.93 1239.37 488.831 4500.1 807.64 321.151 349.655 413.555 1145.72 2772.41 392.79 354.333 3750.79 436.013 91.0096 57.1409 667.419 137.967 746.214 459.112 279.98 477.919 573.928 506.866 598.937 538.889 306.887 414.693 164.898 1048.7 84.2363 4389.31 401.464 765.339 7.21726 
TNIP1 122.858 92.6727 46.8346 77.2115 75.296 74.2244 73.3538 16.0365 18.495 16.1154 38.8316 37.8316 23.9473 25.1399 15.7127 20.357 16.9517 15.262 26.0126 21.144 91.6596 76.4079 306.495 97.3675 66.4224 68.2606 72.498 81.3402 69.1002 49.3583 62.3854 78.9 63.8782 59.5681 40.8971 43.0669 55.692 93.2445 46.711 45.4438 50.1171 64.6615 113.753 57.283 98.3372 76.0704 60.9002 32.0486 25.8607 21.8206 29.3647 35.2797 64.798 62.2895 69.85 100.673 95.3316 94.2519 126.467 54.1532 46.683 39.9619 56.7094 23.0371 71.2918 69.3825 93.0339 175.797 
ANXA6 211.941 180.188 102.341 225.207 216.937 240.569 249.312 27.2997 51.305 52.8131 70.8496 67.4627 105.712 128.883 32.4707 61.6917 51.7559 46.7869 32.6622 39.9901 179.316 342.426 463.238 119.124 211.126 196.648 100.08 61.6179 16.8975 158.838 212.4 27.7885 216.094 224.145 84.0704 63.1409 36.607 47.8284 62.7508 76.5267 93.6916 85.9616 156.147 41.7613 89.9344 153.082 195.519 26.0568 19.3573 111.556 27.4967 162.204 91.8077 39.7169 58.0625 120.748 158.107 103.978 149.285 52.9829 59.0183 20.6727 161.312 64.5885 105.888 194.891 115.8 83.697 
CCDC69 130.874 116.625 147.184 47.8568 70.6126 85.2806 183.988 3.48091 6.00825 5.57657 5.36389 8.03709 6.156 6.51879 4.54577 6.9317 4.50007 5.36241 7.87761 10.234 83.7962 11.7041 118.274 28.2975 31.6987 297.186 104.785 76.1767 13.9346 291.523 217.728 36.7723 283.827 97.7205 88.4696 58.8065 7.38144 24.5435 19.8165 33.0213 32.901 34.063 88.2194 21.748 97.642 50.7376 54.1607 25.766 24.7042 10.6317 27.8184 17.8124 44.6123 20.2344 21.3379 72.6055 105.525 80.1926 98.8406 24.1512 40.191 9.49851 167.877 26.8325 25.341 71.2123 40.1812 102.289 
GM2A 26.8596 22.1775 30.351 32.0305 29.1499 23.8541 31.7974 20.4276 16.0688 23.18 18.6545 17.1578 17.8399 18.1139 20.0081 16.4084 19.5396 22.2928 63.5696 30.5753 23.8969 42.1588 111.782 55.6256 32.6803 25.2131 20.4071 21.7571 13.6638 21.1474 21.0024 82.1265 20.6657 26.8273 15.4524 12.4248 7.01712 11.9675 7.72 11.9914 13.5428 19.5728 41.6402 19.7867 3.76048 38.0992 28.0589 6.84876 6.3578 18.4489 6.97323 12.8318 25.1554 92.1972 85.7833 25.4723 56.5522 29.7507 41.3275 12.4266 11.3211 9.07655 16.4405 19.8357 16.2158 29.3578 97.9056 31.4173 
SLC36A2 0.19359 0.069809 0.012744 0.029864 0.094736 0.040862 0.055935 0 0 0.0069755 0.022171 0.022524 0.0082435 0 0 0.005555 0.004931 0.003991 0.0204515 0.006363 0.092013 0 0.009023 0.0088325 0.021653 0.015103 0.01101 0.0097595 0 0.019475 0.038901 0.013044 0.032406 0.035983 0.040781 0.067 31.006 1.53526 0.004649 0 0 0.0135705 0.0239225 0.121988 35.2274 26.4868 0.023166 0 0 0 0 0.02458 0.031569 0.060683 0.057517 0.013832 0.029388 0.0101405 0.014488 0.007263 0 0 0 2.14559 0.022714 0.032945 0.051147 0.009754 
SLC36A1 8.87844 7.32407 5.16662 8.86226 9.32422 5.99723 9.01455 1.91369 2.90778 2.33109 58.2228 67.8566 5.66693 6.51366 2.40406 3.03962 2.48969 2.13885 3.53166 2.64782 6.59581 10.1151 4.4225 6.56796 8.12494 6.2684 11.1966 17.9201 24.2972 8.49678 6.85095 6.74843 6.54901 6.25952 2.42435 1.44785 3.41771 3.52249 1.62661 2.32443 1.81497 10.1683 10.0875 5.88927 4.05929 19.5621 6.20771 3.73595 4.12875 2.58167 3.68451 6.53488 9.40511 4.51766 5.15357 18.4631 9.60829 18.2339 14.2201 5.38632 4.67892 3.4518 5.32358 15.8721 6.23472 8.02408 7.63451 11.3387 
FAT2 0.360559 0.176073 0.107418 0.266264 0.246045 0.192209 1.69698 0.059823 0.093808 0.331463 170.84 222.454 0.182945 0.145634 0.077793 0.211117 1.78729 0.140475 0.37923 0.112352 0.817596 0.133913 0.208854 27.6778 0.334813 0.160265 0.180501 0.14066 0.123588 0.130648 0.17363 37.2395 0.160302 0.265473 0.078099 0.041183 0.107788 0.709277 0.0388845 0.020703 0.012274 0.111725 0.298226 3.55093 0.16386 0.613232 0.210099 0.0874035 0.048754 0.036168 0.0428585 0.547262 3.34428 31.0787 28.5277 0.305059 0.221183 0.2353 0.209705 0.117466 0.067569 0.030105 0.0731285 18.5133 0.251702 0.213564 25.8014 0.077722 
ENSG00000271795 0.858591 0.445222 0.496157 0.63611 0.682956 0.410774 1.27981 0.181438 0.280848 0.231151 23.1464 33.1548 0.646025 0.502061 0.2163 0.295424 0.323164 0.192875 0.406052 0.281219 0.592313 0.424327 0.305408 2.81743 0.767656 0.636213 0.873795 0.713549 1.24753 0.562831 0.64379 3.41596 0.630587 0.557153 0.265619 0.141439 0.375879 0.281991 0.203571 0.159757 0.127017 0.805871 1.1173 1.08846 0.327832 1.9493 0.610465 0.278024 0.264969 0.197182 0.247312 0.81651 1.39547 5.2362 4.3574 1.66314 1.16794 1.42207 1.49287 0.444576 0.31051 0.257255 0.325188 1.50716 0.585791 0.726997 3.68252 0.716186 
SPARC 1458.26 1037.39 494.52 2911.61 1759.69 1532.74 472.697 237.188 103.336 337.847 197.243 310.888 122.197 89.0679 237.456 879.732 286.005 179.193 1166.41 1010.05 884.175 1560.05 38.6567 596.206 854.64 598.23 266.614 152.836 54.7389 244.046 464.127 104.861 477.042 600.079 370.984 184.897 213.571 186.032 57.7244 22.5177 32.9477 472.032 980.269 160.511 116.636 2419.91 561.538 45.2961 27.9153 98.1232 51.5504 232.993 417.317 281.18 373.502 214.459 104.281 171.831 319.274 139.446 115.515 44.5278 229.628 581.413 624.987 834.749 504.667 37.6159 
ATOX1 13.9319 12.7127 14.2537 18.2874 16.2704 14.8244 12.2927 10.2072 10.3952 9.61406 9.15128 9.07092 10.0401 11.2041 9.43042 14.537 11.5933 9.51147 17.1346 15.3182 14.0585 23.3759 26.6309 13.4608 13.6097 11.4666 8.71918 8.16434 6.12432 9.76337 10.7663 12.1953 11.7149 12.9202 6.92604 5.04715 14.6441 16.6885 12.9509 12.6827 11.7203 11.1065 13.4172 12.0038 3.25513 14.5448 10.5035 2.99861 3.62819 7.81921 3.59324 12.6801 15.6107 13.9065 15.3139 11.5668 11.9067 12.1602 18.0139 7.83864 7.63283 6.83608 9.71783 15.7023 21.3965 12.7826 13.3621 5.74192 
RPLP1P6 2.91242 1.57983 2.55959 2.11934 1.88915 2.23483 3.12005 1.83483 1.30069 1.82369 1.92148 1.87152 1.33191 1.51225 2.01651 1.99953 1.62096 2.14965 5.77909 3.15932 2.26586 1.90154 3.22345 2.62328 3.55707 2.80779 1.65181 2.15031 1.78514 2.26197 2.74846 1.23577 3.30904 3.38187 0.986451 0.596391 1.07958 3.0655 1.60756 1.9864 1.42908 2.21638 1.63528 1.48564 2.13001 5.80288 4.6437 0.387261 0.752945 1.08911 0.537426 3.15531 2.9305 1.96075 2.23943 2.04207 8.42409 3.63896 3.66576 1.23241 1.42164 1.47403 3.89968 19.4485 2.66921 3.4861 2.19541 0.806241 
ENSG00000275765 6.53238 4.42517 3.97007 4.12468 4.2522 4.31577 4.32181 3.90336 2.73535 3.28801 1.59143 1.78534 2.53988 2.77647 3.79271 3.69616 3.34256 3.78574 13.4823 7.00655 5.15397 3.28665 5.04732 3.387 5.03745 3.77061 2.50071 2.91828 2.0825 5.26838 3.58011 2.08033 3.82693 4.73776 3.29979 1.48923 2.33931 6.37216 1.80154 1.89207 1.98853 3.33249 2.84769 2.52127 3.88256 10.8186 7.42101 0.808197 0.719045 2.0465 0.713174 5.05096 3.34216 2.55102 2.95939 2.8329 4.53866 3.18609 3.06443 2.13586 2.67448 2.13153 4.79015 26.7115 4.72256 5.69886 3.40047 1.05335 
G3BP1 26.1793 27.12 16.8438 23.3291 25.4814 23.7086 21.2308 7.1493 6.82043 7.96886 17.6671 13.9471 6.3925 8.2976 6.86735 9.98995 8.09369 6.68215 12.7613 8.2652 25.9646 51.5223 60.1349 31.6252 31.5091 19.7667 18.8658 15.1569 13.5614 14.4386 18.6657 27.0695 17.8967 28.9903 10.6209 8.77493 8.95373 13.6175 11.615 12.3468 13.289 28.5625 30.8438 20.6189 20.5827 30.4632 34.6871 9.42286 8.16727 15.5166 8.98278 14.1979 21.2056 29.5661 26.1598 21.5945 33.8373 19.8408 24.6677 16.5876 15.1083 11.2372 15.5666 22.5649 24.9426 32.8844 30.9059 5.68243 
GRIA1 0.673596 1.23886 0.338575 20.6725 2.86386 1.38879 0.174528 28.7225 34.7924 21.9642 41.3337 74.7012 27.1977 33.7357 40.066 26.3343 33.1567 15.8465 2.9142 5.60117 0.422448 8.19613 0.434758 0.230071 0.253146 0.672693 0.366179 0.2404 0.153778 0.334055 0.876126 0.0871555 0.622041 0.213333 0.352664 0.062681 0.084262 0.116424 0.0216185 0.006271 0.011166 0.249518 14.0169 0.121153 0.0910455 1.2534 0.220229 0.0662035 0.048293 0.090325 0.0467635 1.70483 0.158184 0.329153 0.334621 0.388497 0.538396 0.318989 0.080894 0.193721 0.336075 0.023593 1.39873 1.36085 0.493216 0.211282 0.339958 0.012234 
FAM114A2 10.4282 8.95509 7.51135 10.4596 11.041 10.8492 8.52762 2.62961 2.61392 2.78086 4.43088 3.98525 2.95312 3.24986 2.35052 3.63942 2.90171 2.3499 3.85756 2.88698 9.12655 15.8622 13.0205 8.57607 9.114 7.46015 5.51266 4.55288 3.63481 6.02203 8.42343 6.84927 8.88052 9.30722 5.08575 4.22347 3.85304 5.8026 3.23245 3.9407 4.8265 7.51343 8.8914 5.95653 5.52761 10.368 8.36443 5.04069 5.35619 6.36914 5.19475 8.32107 7.09132 6.48379 6.77559 7.27767 8.31656 7.05945 8.32961 6.27991 6.75259 4.92674 6.97826 19.6163 9.18109 10.035 8.59409 2.6073 
MFAP3 12.8239 12.2597 5.36639 7.10062 8.48362 5.70012 6.68368 2.40593 2.89841 2.74453 10.0661 6.89958 2.98482 3.82328 2.24171 2.88995 2.71836 2.26669 3.45047 2.49272 11.0743 14.8133 8.34538 8.07112 8.8298 5.57147 5.79968 5.51042 4.99974 4.24342 6.05652 8.87978 6.27541 7.88637 4.39343 3.62844 3.06554 4.84464 2.94474 3.2017 3.76232 9.59989 10.8134 6.24442 4.56553 9.31301 7.17049 2.40974 2.17991 3.65835 2.21708 4.59348 6.28573 5.70972 5.9432 7.04155 8.19417 7.04881 8.10395 5.07159 4.47395 3.58124 4.28341 5.0563 10.3207 9.24244 8.53157 2.06631 
GALNT10 12.6343 11.2887 14.2433 21.1774 19.1181 12.6732 10.7549 5.79277 4.80574 4.70932 2.31271 3.20469 3.90152 3.61345 4.63133 6.46921 5.41486 3.95095 4.67337 6.61045 12.7737 32.7361 31.2622 6.85459 11.6166 18.7827 12.2304 12.7811 9.39132 12.8281 13.2206 4.07666 14.6183 9.25109 5.15925 3.19432 6.36264 7.52339 2.03886 2.45578 2.65755 12.9955 18.2621 6.35557 2.54857 15.8181 58.2425 4.41053 4.2172 7.1255 4.31452 8.82827 11.9547 5.63003 6.66169 14.1981 18.1121 14.5476 18.2002 14.3334 14.1473 10.4693 14.2017 6.00618 21.2844 7.93396 6.30448 10.3719 
SAP30L 22.4601 15.627 11.5471 25.3723 24.1935 32.3478 24.2852 10.7221 12.0219 11.2335 20.8853 18.6598 14.328 17.988 10.3588 10.2489 10.8396 9.97618 17.0685 12.495 19.9862 12.4542 8.29167 26.7467 38.7799 30.9924 18.9677 19.1719 12.6543 30.9134 24.9898 10.4074 24.3249 33.2034 8.06521 6.94149 9.51309 14.7709 5.98062 7.57951 7.83385 19.4378 19.0883 13.8715 11.4223 30.2787 33.379 5.12193 4.70767 8.35095 5.62957 11.4915 21.4909 14.4337 15.8175 22.1124 20.52 19.4764 19.6219 12.5541 14.6354 10.0421 22.8434 24.7886 19.6458 39.1929 23.1613 5.62935 
HAND1 0 0.137802 0.082619 0.215922 0.067251 0.230817 8.09141 0 0 0 0 0 0 0 0 0.02852 0 0 0 0 0 0 0.030064 0 0.021103 125.746 29.6632 19.3717 0.0822705 120.247 0.024424 0 0.02257 0.040983 2.19771 18.1364 0 0 0 0 0 0 0.078634 0 0 0 0 0 0 0 0.033183 0.032846 0 0.083521 0 0.04751 0 2.67599 0 0 0 0 0 0.684412 0 0 0.038219 0 
LARP1 55.0784 47.388 55.6327 57.1607 53.573 59.9606 51.7837 27.2404 36.8749 27.5541 54.083 60.2429 43.4333 49.2557 28.126 39.0372 31.032 22.4017 34.2858 27.7828 48.9801 102.435 106.765 57.0698 62.7669 51.1026 41.3124 29.2347 24.743 37.2391 47.5906 55.4074 46.6132 66.7437 27.2028 25.1258 23.8568 41.2083 18.1008 19.0311 17.0666 37.313 52.739 53.1559 44.1844 68.4206 72.0266 42.9178 37.332 38.3768 35.5321 60.8203 47.3696 52.2858 56.5008 46.3388 53.3609 37.0274 49.9636 44.1338 36.7389 30.3394 33.7457 57.6119 86.2416 71.1955 57.65 9.01134 
FAXDC2 57.0064 30.7153 37.6764 47.8619 73.4372 58.5744 43.9133 22.8817 17.2606 31.0626 10.8498 17.114 23.0335 22.022 29.2815 20.1505 20.5798 34.3721 89.6983 36.1752 47.1217 12.7159 0.430585 29.4353 52.3457 85.0681 28.8354 18.5685 7.56021 53.6107 44.5604 8.95125 31.6236 59.0459 19.0865 9.78117 11.1588 15.8174 32.3629 24.4075 21.4977 24.7206 53.5215 42.1966 5.7524 101.084 66.1758 4.03781 3.20177 5.95575 3.77504 19.6922 39.5916 31.6038 37.3139 21.6398 11.7179 14.669 16.294 14.5523 18.1729 7.45553 48.9292 23.0567 62.016 57.4785 33.1498 15.1962 
CNOT8 73.7349 44.825 40.4076 55.7744 52.6267 68.1261 42.4373 15.5085 16.7927 16.6616 33.6156 29.5307 21.1038 24.4147 16.1592 17.3865 15.8427 15.2514 32.0634 18.4908 57.1272 49.4059 45.9369 42.9598 49.2021 39.1981 38.0098 43.0522 38.1088 38.7465 39.3308 26.6279 38.1165 42.43 15.3953 11.031 14.4619 24.139 10.72 14.5653 15.9511 50.2944 71.0692 39.1912 11.4795 68.8749 40.6857 10.0471 13.272 24.159 12.6717 23.6027 35.9977 44.5999 48.6286 42.0402 85.1478 53.7191 59.5866 25.6673 30.1622 22.0671 34.9967 55.6562 53.2505 45.4451 41.7026 41.2809 
GEMIN5 16.5808 10.7256 7.33303 10.8339 10.8945 13.0129 13.7535 3.83197 4.4163 5.45843 10.2136 10.1152 6.20704 5.84192 4.1622 5.64458 6.28303 4.56309 6.07154 4.38964 13.4592 22.5249 27.2799 11.8544 16.0524 11.1121 7.57428 4.80434 3.02283 7.23568 10.7468 7.79234 10.7928 14.2726 5.75785 5.1219 3.16619 7.11892 3.15624 3.98996 4.0078 8.3189 9.97991 8.31073 9.89115 16.883 15.7165 3.48164 2.50424 5.52681 3.37646 10.0036 10.5544 10.7658 13.5921 8.04635 9.83863 7.04061 9.7641 5.76777 5.74881 3.5994 8.02621 14.0571 11.5614 16.1577 11.6316 1.61945 
MRPL22 11.9574 10.2324 13.4311 12.4606 11.8575 12.5976 10.7173 5.72808 6.1196 6.80627 10.9238 8.95448 6.27709 7.85661 5.64966 7.2304 7.05867 6.15865 9.07966 6.5498 11.7153 17.8111 24.2866 13.8136 14.1808 12.1115 10.4876 14.031 10.389 12.1224 11.9228 10.8302 12.0074 13.0111 8.60186 9.45841 9.0636 11.9832 7.64267 11.621 13.6713 12.2813 11.6123 8.61445 7.50287 15.821 12.4651 4.88487 6.25465 11.4324 7.1139 12.7287 10.7737 10.4744 11.2353 9.67662 12.8591 13.5927 11.9396 8.95817 11.5251 9.66784 11.7957 20.037 12.8532 13.5459 11.8723 1.98307 
SGCD 3.09848 2.07846 3.22028 21.2859 12.1555 27.724 5.78885 2.10776 1.90154 1.13286 0.552911 0.801735 2.00397 2.05499 1.74413 1.49527 1.17958 0.943976 7.08886 2.12534 2.60257 4.22253 0.032562 2.70658 7.07386 9.4374 2.94101 2.11844 0.32438 5.42782 14.8319 1.02697 13.1935 4.08811 12.6316 12.078 0.324642 0.278789 0.320489 0.088532 0.218314 2.04487 5.78606 1.73469 15.9805 7.99121 9.0129 0.163742 0.069013 0.352032 0.177992 1.8935 3.10985 1.29624 1.66942 1.99381 0.650375 1.60965 1.02635 1.5949 1.19153 0.387302 3.59629 1.10616 6.11704 7.09016 3.03872 0.036266 
TIMD4 0.79077 0.951375 0.127871 0.253444 0.504935 0.39687 0.225264 0.113104 0.083944 0.106128 0.070926 0.06168 0.0946385 0.085953 0.130806 0.142053 0.101448 0.0742705 0.335568 0.214228 0.212781 0 5.52902 0.105202 0.100106 0.176287 0.413131 0.372989 0.305818 0.179048 0.234305 0.055655 0.206424 0.133047 0.293083 0.0322935 2.89737 1.04021 0.634745 2.17593 3.63589 2.18142 0.436309 0.129859 0.0408615 0.406467 0.071839 0 0 0.039324 0 0.060505 0.318013 0.107788 0.132096 0.784039 9.81781 3.48612 9.0747 0.074695 0.050274 0 0.041868 108.224 1.35017 0.068403 0.100393 0.697556 
HAVCR2 12.2475 10.1995 7.99832 8.38545 9.77593 3.73994 4.61374 4.24946 2.8061 3.84195 4.45422 3.57008 2.45597 2.94664 4.54223 5.09034 3.19776 3.50372 17.7211 8.32829 6.09744 0.181847 13.0686 2.82445 3.97459 3.69035 4.02599 6.10358 4.01913 4.66559 3.42762 1.70591 3.49081 4.7974 2.23277 1.0416 14.3854 2.65332 1.95125 2.47937 3.36971 19.4999 32.7664 4.25893 0.642725 10.5308 2.04655 1.10844 0.989574 1.07528 1.35288 2.5588 4.21434 2.20828 2.48792 6.44699 18.5382 9.99898 32.2819 2.21229 2.60495 1.25955 4.33481 2.44906 3.06963 2.85 2.56893 24.1838 
MED7 10.4029 8.49793 10.031 11.6776 13.1343 11.5603 9.78955 4.8486 5.41625 5.03667 7.70376 6.80393 5.3847 6.99909 4.52355 6.46369 5.30112 4.58013 6.56372 5.92102 10.5329 12.6236 16.1701 9.08508 11.4238 9.78273 8.69182 8.94091 8.32112 8.3292 9.0888 6.76305 9.28942 11.741 4.48003 3.49982 6.18564 12.1684 3.65224 4.33738 4.77108 11.9527 9.70479 7.01174 5.34011 11.5875 9.78269 2.99052 3.67947 7.15062 3.48852 8.68683 10.0352 6.06793 6.17444 8.7698 17.9865 10.4697 12.6901 6.72513 6.71738 4.99415 8.11295 26.7777 12.318 11.3914 8.19307 2.83705 
ITK 2.16527 3.8674 0.342329 1.18056 1.59375 0.413932 2.46179 0.125322 0.086218 0.143927 0.034576 0.0504155 0.103604 0.084729 0.105422 0.153371 0.193837 0.0993455 0.455413 0.144519 1.73888 0 0.557365 2.85418 1.96574 0.586611 1.98444 2.35202 2.57081 0.623654 0.762028 1.08774 0.787195 2.46989 0.463947 0.106527 0.378785 0.252875 0.634497 0.281937 0.378364 26.5142 9.13798 1.15219 0.127827 1.27123 0.461801 0.187928 0.166234 0.104052 0.272132 0.448832 1.40254 1.48571 0.967788 10.1518 77.4763 19.7021 18.5386 1.69023 2.3039 1.49334 1.25037 1.31935 2.28115 1.323 2.18569 11.95 
FAM71B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77.9128 0 0 0 0 
