Description Adipose_Subcutaneous Adipose_Visceral_Omentum Adrenal_Gland Artery_Aorta Artery_Coronary Artery_Tibial Bladder Brain_Amygdala Brain_Anterior_cingulate_cortex_BA24 Brain_Caudate_basal_ganglia Brain_Cerebellar_Hemisphere Brain_Cerebellum Brain_Cortex Brain_Frontal_Cortex_BA9 Brain_Hippocampus Brain_Hypothalamus Brain_Nucleus_accumbens_basal_ganglia Brain_Putamen_basal_ganglia Brain_Spinal_cord_cervical_c-1 Brain_Substantia_nigra Breast_Mammary_Tissue Cells_Cultured_fibroblasts Cells_EBV-transformed_lymphocytes Cervix_Ectocervix Cervix_Endocervix Colon_Sigmoid Colon_Transverse Colon_Transverse_Mixed_Cell Colon_Transverse_Mucosa Colon_Transverse_Muscularis Esophagus_Gastroesophageal_Junction Esophagus_Mucosa Esophagus_Muscularis Fallopian_Tube Heart_Atrial_Appendage Heart_Left_Ventricle Kidney_Cortex Kidney_Medulla Liver Liver_Hepatocyte Liver_Mixed_Cell Liver_Portal_Tract Lung Minor_Salivary_Gland Muscle_Skeletal Nerve_Tibial Ovary Pancreas Pancreas_Acini Pancreas_Islets Pancreas_Mixed_Cell Pituitary Prostate Skin_Not_Sun_Exposed_Suprapubic Skin_Sun_Exposed_Lower_leg Small_Intestine_Terminal_Ileum Small_Intestine_Terminal_Ileum_Lymphode_Aggregate Small_Intestine_Terminal_Ileum_Mixed_Cell Spleen Stomach Stomach_Mixed_Cell Stomach_Mucosa Stomach_Muscularis Testis Thyroid Uterus Vagina Whole_Blood 
MTCO3P12 18.2477 16.7006 25.6084 9.2034 12.2126 12.2335 10.3723 27.9817 27.2629 22.6346 19.3182 22.7972 26.0738 23.1159 28.3635 25.1595 26.7742 24.3533 16.6981 22.432 17.3179 6.83381 8.41388 7.56959 7.69821 15.7981 20.7234 53.6425 65.3021 42.3289 16.9838 11.8949 16.7288 7.6193 28.6107 34.501 33.8875 17.0275 19.1911 19.6404 15.27 26.0634 11.2883 14.028 21.9658 12.6792 9.5875 6.54076 14.0857 10.6949 8.52096 13.5084 16.4484 17.4998 17.4376 19.2711 27.9154 43.4051 10.206 19.5709 23.3254 25.3597 20.7398 19.7059 17.5632 10.7482 10.737 4.50592 
ENSG00000228327 2.77956 1.86617 1.72467 1.9236 2.02806 2.02779 2.60984 0.452138 0.447561 0.508403 1.69468 2.14912 0.755525 0.604667 0.516079 0.646757 0.587022 0.448058 0.86057 0.569396 2.6645 1.88661 2.76842 2.04873 2.95959 2.46688 1.83403 1.20743 1.58837 2.09654 2.23896 1.70607 2.17546 2.80561 0.944522 0.524297 1.17446 2.94433 1.11228 1.04655 0.832228 2.12945 2.44905 1.98171 0.689866 3.81025 4.15079 1.02711 1.05132 1.10142 0.708661 3.54812 3.39305 2.84179 3.23205 2.30417 3.88002 1.80512 2.94613 1.70057 1.68356 1.19421 1.84885 12.0359 4.28571 3.11737 2.43312 2.17175 
LINC01128 4.58307 4.67592 2.57978 4.97239 4.91549 6.19531 4.59586 1.61504 2.72007 2.07458 12.7024 11.8029 3.47729 4.36455 1.89531 2.55286 2.60337 1.71368 1.86771 1.51324 3.92529 2.23097 2.62229 3.51921 4.98656 5.06473 3.10606 2.07958 1.38549 4.82537 5.39439 2.05546 5.15092 4.24219 7.42647 8.01902 1.35401 2.36583 2.33948 2.42912 2.24482 4.65515 3.62041 2.07876 6.35527 3.94064 3.9648 1.4468 1.34452 12.2765 1.13511 11.2665 4.79586 2.41522 2.63349 2.84137 2.72064 2.20265 2.79088 2.06508 2.30371 1.25839 4.78451 5.44419 4.23308 4.98318 3.24835 0.569548 
LINC00115 4.43197 3.43743 2.87404 6.35406 5.93425 7.65319 6.30949 1.40923 1.40609 1.97587 11.048 11.1969 2.04481 1.74585 1.86594 1.889 1.98269 1.53327 3.35508 1.89707 3.93153 3.30721 3.79835 8.29334 10.1921 5.90722 4.29918 2.906 4.04914 3.40424 4.88492 3.70482 4.49098 7.41636 2.78833 1.40794 3.60143 7.73735 2.8527 1.52983 1.41067 4.34882 6.94483 4.98848 1.82037 11.5182 12.8563 0.938671 0.981683 1.40031 0.901224 9.2252 13.2427 4.03528 4.19505 4.05498 7.16599 3.44394 6.40014 2.77588 2.18633 1.98725 2.85922 7.40662 9.3525 9.8531 10.0779 1.41174 
LINC02593 0.589084 1.71753 3.96287 5.72562 2.73524 8.91093 11.293 0.387415 0.410511 0.68197 0.41519 0.574769 0.713328 0.421552 0.945812 1.9776 0.611216 0.618752 2.78922 0.692417 1.53289 1.39581 0.327189 3.26912 6.61254 3.27887 2.78964 2.07337 1.33467 6.67475 4.81253 1.58176 4.77086 13.7085 5.45062 0.311114 6.85938 14.6994 1.52223 1.02233 0.633366 6.44923 2.98498 0.62711 0.141718 4.74939 0.611103 0.316265 0.262934 4.4797 0.317403 19.7998 20.094 0.859084 1.48325 3.83499 4.34735 2.87379 18.4934 2.61546 2.75987 1.28902 4.77161 4.62766 4.92162 6.16521 4.10133 0.034777 
SAMD11 0.47822 2.95376 3.89151 5.95948 3.14867 8.38256 15.5267 0.501748 0.424522 2.12809 0.405225 0.624656 0.821193 0.480476 0.903051 3.67321 1.04772 1.31161 2.2548 1.196 1.71302 1.74842 0.06473 5.78092 9.33953 4.55071 4.24674 2.81283 1.26161 6.03038 5.33861 1.31256 5.46891 34.1176 6.98478 0.447881 7.53992 14.3494 1.60207 0.668672 0.749548 6.94717 3.72677 0.711459 0.277065 5.31042 1.77841 0.730541 0.341946 24.3871 1.09433 33.1591 16.4153 0.536954 0.780059 5.08486 3.82349 4.82342 18.2229 3.57866 3.44832 1.25601 5.51176 7.0241 5.60893 11.3708 6.725 0.048905 
NOC2L 54.3508 49.6199 38.1675 57.2992 53.7758 64.441 72.7372 19.7085 28.1231 25.0112 83.9929 78.8973 42.0656 45.9391 22.8465 29.4393 27.7201 22.4188 28.5345 21.6082 60.2668 103.908 105.436 70.9655 81.6576 55.6165 48.2065 42.5328 34.1674 46.877 57.5917 77.8979 56.3083 80.124 30.2038 24.1599 27.586 45.6783 27.8425 26.7836 31.0466 50.1041 57.9511 51.0099 60.9232 72.1541 66.0095 29.211 28.4141 47.0662 30.3355 58.391 65.1251 85.5942 92.6457 52.2213 67.3884 55.651 61.9032 43.9116 40.54 30.1424 49.9026 101.655 69.1514 79.8369 72.3582 17.3696 
KLHL17 10.0322 9.23478 8.2427 14.5644 14.0704 11.2652 15.7321 3.28439 5.30514 4.55257 25.4791 31.2337 10.99 8.08231 4.22031 5.61147 4.57609 4.30782 4.15236 3.7182 11.9689 17.3117 15.971 19.4753 22.2657 13.3477 10.5901 11.3345 11.2101 18.7318 13.3534 17.8392 13.5481 17.6785 4.76971 2.90831 8.43904 21.5686 5.85465 8.12286 5.73641 18.0633 16.5197 13.6081 2.35849 9.62514 3.74315 4.86314 9.326 18.1632 6.21526 21.7417 18.4453 17.1731 17.1631 13.0308 32.1706 19.7285 23.3287 10.7975 11.4968 10.8662 13.0319 32.9525 15.905 18.7737 19.1013 4.22393 
PLEKHN1 0.566837 0.658131 1.89047 0.75428 0.892918 0.730967 12.6679 0.095869 0.082047 0.10379 0.147781 0.179568 0.141389 0.107815 0.087093 0.097186 0.123003 0.108536 0.11555 0.081286 2.70117 2.12553 1.83558 48.0173 1.01028 0.276007 0.853051 1.12212 1.24101 0.432303 0.476777 74.4191 0.507191 1.37753 0.276958 0.175419 1.2891 1.7444 0.42264 0.449263 0.283495 4.67648 2.38428 9.36852 0.432698 0.489384 0.195373 0.607952 0.263892 0.122802 0.464018 0.591824 6.42458 72.548 68.3198 1.34447 2.76524 1.71452 2.15069 1.1659 1.44205 1.05259 0.283614 1.40262 1.3692 0.747029 44.8786 0.568758 
PERM1 0.23155 0.224287 0.089815 0.219967 0.359241 0.833775 0.850212 0.091118 0.149104 0.092808 0.06442 0.093925 0.174695 0.143791 0.100999 0.090016 0.092129 0.0929725 0.0699155 0.0703 0.397738 0.062104 0.096122 1.19 0.365195 0.225706 0.169789 0.248381 0.19426 0.389857 0.277542 2.38052 0.255076 0.611483 28.3843 56.4145 0.406534 0.325767 0.137184 0.027876 0.07773 0.333674 0.183921 0.677959 120.273 0.274205 0.14733 0.0571985 0.048167 0.034874 0.0309065 0.119283 0.790303 2.07765 2.32427 0.18377 0.223422 0.225063 0.154837 0.203126 0.278939 0.086104 0.490247 2.10687 0.160426 0.554804 1.14021 0.044819 
